grupo,muestra,mir16,mir191,mir141,mir146,mir148,mir145
1,1,23.335,24.54,29.96,29.13,28.90,26.74
1,3,22.916,23.35,,29.64,26.41,25.20
1,4,23.088,24.16,,28.96,28.11,26.41
1,5,25.531,28.06,27.35,29.06,29.79,30.45
1,6,23.066,24.30,23.67,27.67,26.50,30.19
1,7,24.766,24.30,26.58,29.39,27.51,27.41
1,8,24.497,25.16,,28.11,26.25,31.07
1,9,22.071,24.03,26.92,24.83,25.88,25.73
1,10,22.584,23.50,28.12,27.74,27.05,25.29
1,11,22.523,24.11,23.42,25.79,32.71,24.97
1,12,26.415,27.07,28.85,25.62,30.67,
1,13,25.776,26.72,27.96,30.69,29.30,31.64
1,14,23.73,24.41,,25.30,27.11,29.28
1,15,22.04,23.16,32.75,27.11,26.17,25.48
1,16,23.479,24.72,28.68,29.70,28.15,27.12
1,18,24.594,26.37,,28.28,30.23,29.61
1,20,22.005,24.49,29.45,27.09,26.72,25.03
1,21,21.411,25.89,26.77,29.06,28.03,28.98
1,22,23.847,24.69,27.82,29.27,26.47,29.75
1,23,21.908,23.28,25.77,27.90,26.00,25.13
1,25,18.215,20.23,19.81,23.13,23.58,22.24
1,26,15.688,19.54,19.14,21.93,21.30,21.99
1,27,17.939,19.79,19.51,22.70,22.57,22.18
1,29,18.054,20.59,19.32,22.36,23.34,27.29
2,1,24.917,24.95,26.66,26.66,27.16,26.22
2,2,20.014,22.74,22.61,25.46,25.34,26.18
2,3,19.17,22.74,19.88,23.52,24.11,24.19
2,4,19.365,23.10,19.30,24.34,24.41,24.90
2,5,22.684,24.18,24.12,24.93,26.28,25.16
2,6,17.137,21.22,17.13,20.92,22.39,23.16
2,7,17.167,20.31,20.55,22.16,22.67,22.06
2,8,18.416,20.77,20.61,21.90,24.25,22.54
2,9,18.746,20.86,18.55,22.66,23.99,23.88
2,11,18.545,20.64,18.35,23.35,23.11,24.52
2,12,18.552,20.07,20.90,23.30,22.42,22.50
2,13,18.585,20.38,22.66,23.98,23.78,22.66
2,14,19.258,20.48,22.77,24.99,25.84,24.12
2,15,22.979,26.44,21.87,28.20,28.30,29.13
2,16,23.494,24.53,23.43,25.58,27.23,25.65
2,17,24.954,25.28,24.23,26.96,27.86,31.16
2,18,26.101,26.41,27.64,31.18,25.80,28.87
2,19,20.365,20.87,21.18,23.83,24.96,24.21
2,20,18.536,20.83,19.72,21.28,24.33,23.11
2,21,20.289,22.45,19.57,23.93,24.96,25.74
2,22,19.246,19.32,23.98,24.74,25.21,22.76